"ID";"IDNr";"Punkt";"Referenzgebiet";"IUGNr";"AusserhalbIUG";"Datum";"Uhrzeit";"Begehungsdurchgang";"WannLetzterSchneefall";"X-Koordinaten";"Y-Koordinaten";"GPS";"Art";"unsicher bei Art";"Geschlecht";"Nachweisart";"Anzahl";"andere Nachweisart";"Genetik";"frisch";"Losungsfund auf Schnee";"Harnsaeurebelag";"Blinddarmlosung";"Totholz stehend";"Totholz liegend";"Wurzelteller";"Terrassen-Hangverebnung";"Ameisenhaufen";"Felsblock";"Felswand";"Anthropogene Struktur";"Schlafbaum";"Schneehoehle/Schlafplatz";"aesungsbaum";"Huderstelle";"andere:";"Beschreibung";"Gesang";"Spuren";"Paarbeobachtung";"Gelege";"Fichte";"Laerche";"Zirbe";"Foehre";"Tanne";"sonstige Nadelwald";"Buche";"Ahorn";"Birke";"Eberesche";"sonstige Laubwald";"Freiflaeche";"Nachweisort Baumschicht";"Nadelgebuesch";"Laubgebuesch";"Zwergstraeucher (> 30 cm)";"Art (Zwergstraeucher > 30cm)";"Zwergstraeucher (< 30 cm)";"Art (Zwergstraeucher < 30cm)";"Hochstauden, Farne";"Graeser und Kraeuter";"Boden";"Fels";"Moor, Feuchtflaeche";"Gewaesser fliessend";"Gewaesser stehend";"von Schnee bedeckt";"sonstiges";"sonstiges Beschreibung";"Nachweisort Boden";"Bemerkung/Notiz"
296;"RS001";"A";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 07:40:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Birkhuhn";0;"weiblich";"Losung";"-";;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"0";"0";"0";;"80";"Heiden";"0";"0";"0";"20";"0";"0";"0";"0";"0";;"Fels";
297;"RS002";"A";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 07:48:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Schneehuhn";0;"unklar";"Losung";"1-5";;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"0";"0";"0";;"80";"Heiden";"0";"+";"0";"20";"0";"0";"0";"0";"0";;"Fels";
298;"RS003";"A";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 07:57:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Schneehuhn";0;"unklar";"Losung";"1-5";;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"+";"0";"0";;"70";"Heiden & Alpenrose";"0";"0";"0";"20";"0";"0";"0";"10";"0";;"von Schnee bedeckt";
299;"RS004";"A";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 08:11:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Birkhuhn";0;"weiblich";"Losung";"1-5";;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"10";"0";"0";;"80";"Heiden";"0";"0";"0";"10";"0";"0";"0";"0";"0";;"Zwergstraeucher < 30 cm";
300;"RS005";"A";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 08:19:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Schneehuhn";0;"unklar";"Losung";"1-5";;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"0";"0";"0";;"60";"Heiden";"0";"0";"0";"+";"0";"0";"0";"40";"0";;"von Schnee bedeckt";
301;"RS005";"B";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 08:19:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Schneehuhn";0;"unklar";"Losung";"1-5";;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"0";"0";"0";;"60";"Heiden";"0";"0";"0";"+";"0";"0";"0";"40";"0";;"von Schnee bedeckt";
302;"RS005";"C";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 08:19:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Schneehuhn";0;"unklar";"Losung";"1-5";;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"0";"0";"0";;"60";"Heiden";"0";"0";"0";"+";"0";"0";"0";"40";"0";;"von Schnee bedeckt";
303;"RS006";"A";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 08:32:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Schneehuhn";0;"unklar";"Losung";"1-5";;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"0";"0";"0";;"90";"Heiden & Alpenrose";"0";"0";"0";"0";"0";"0";"0";"10";"0";;"von Schnee bedeckt";
304;"RS007";"A";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 08:43:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Schneehuhn";0;"unklar";"Losung";"1-5";;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"+";"0";"0";;"90";;"0";"10";"0";"0";"0";"0";"0";"+";"0";;"von Schnee bedeckt";
305;"RS007";"B";"NPZ";1;0;2024-6-6 00:00:00;1899-12-30 08:43:00;"1";"frischer Schneefall(<= 4 Tage)";0;0;0;"Birkhuhn";0;"weiblich";"Losung";"1-5";;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100";;"+";"0";"0";;"90";;"0";"10";"0";"0";"0";"0";"0";"+";"0";;"von Schnee bedeckt";
