system:index,Comment,DateTimeS,Descript,Elevation,Id,NDVI,Name,Symbol,Type,aspect,b1,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b2,b3,b4,b5,b6,b7,b8,b9,CHM,eastness,elevation,GHMI,landcover,NARI,NCRI,northness,slope,snow_cover,snow_depth,SWE,.geo
00000000000000000000_0,,2024-06-06T05:56:00Z,,2229.139404,0,0.381777022,AF200,"Flag, Blue",WPT,351,-1.0871887,7.954956,-10.494812,1437.1704,216.72348,41.349594,41.349594,544.19916,196.72156,509.92767,236.15912,-1.0871887,-1.0871887,-1.0871887,14.852875,-5.3229675,-5.3229675,7.212555,-8.118927,0,-0.156434465,2217,0.005367082,333,0.034452707,0.082032286,0.987688341,21,63.69015115,0.675442036,0.19314044,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.683849534562958,47.005776784670346]}"
00000000000000000001_0,,2024-06-06T06:30:22Z,,2282.715332,0,0.491764897,AF201,"Flag, Blue",WPT,8,-1.0871887,7.954956,-10.494812,1437.1704,216.72348,41.349594,41.349594,544.19916,196.72156,509.92767,236.15912,-1.0871887,-1.0871887,-1.0871887,14.852875,-5.3229675,-5.3229675,7.212555,-8.118927,0,0.139173101,2279,0.004002891,321,0.08172558,0.10269726,0.990268069,24,63.69015115,0.675442036,0.19314044,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.685134246922424,47.004856318348516]}"
00000000000000000002_0,,2024-06-06T06:53:35Z,,2276.202637,0,0.607703544,AF202,"Flag, Blue",WPT,357,-1.0871887,7.954956,-10.494812,1437.1704,216.72348,41.349594,41.349594,544.19916,196.72156,509.92767,236.15912,-1.0871887,-1.0871887,-1.0871887,14.852875,-5.3229675,-5.3229675,7.212555,-8.118927,0,-0.052335956,2236,0.005398783,321,0.14925736,0.14702985,0.998629535,15,63.69015115,0.675442036,0.19314044,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.687790243952989,47.005715395948975]}"
00000000000000000003_0,,2024-06-06T07:56:13Z,,2307.910156,0,0.367026173,AF203,"Flag, Blue",WPT,31,-1.0871887,7.954956,-10.494812,1437.1704,216.72348,41.349594,41.349594,544.19916,196.72156,509.92767,236.15912,-1.0871887,-1.0871887,-1.0871887,14.852875,-5.3229675,-5.3229675,7.212555,-8.118927,0,0.515038075,2329,0.004002891,333,0.029445108,0.0780395,0.857167301,28,63.69015115,0.675442036,0.19314044,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.685105389827182,47.00395629854607]}"
00000000000000000004_0,,2024-06-06T08:04:00Z,,2301.073242,0,0.491764897,AF204,"Flag, Blue",WPT,8,-1.0871887,7.954956,-10.494812,1437.1704,216.72348,41.349594,41.349594,544.19916,196.72156,509.92767,236.15912,-1.0871887,-1.0871887,-1.0871887,14.852875,-5.3229675,-5.3229675,7.212555,-8.118927,0,0.139173101,2279,0.004002891,321,0.08172558,0.10269726,0.990268069,24,63.69015115,0.675442036,0.19314044,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.685134246922424,47.004856318348516]}"
00000000000000000005_0,,2024-06-06T08:25:04Z,,2312.941162,0,0.631686861,AF205,"Flag, Blue",WPT,10,-1.0871887,7.954956,-10.494812,1437.1704,216.72348,41.349594,41.349594,544.19916,196.72156,509.92767,236.15912,-1.0871887,-1.0871887,-1.0871887,14.852875,-5.3229675,-5.3229675,7.212555,-8.118927,0,0.173648178,2290,0.004002891,321,0.084621064,0.09631194,0.984807753,30,63.69015115,0.675442036,0.19314044,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.68382069867204,47.00487676490969]}"
00000000000000000006_0,,2024-06-06T08:43:31Z,,2352.774658,0,0.503811983,AF206,"Flag, Blue",WPT,23,-1.0871887,7.954956,-10.494812,1437.1704,216.72348,41.349594,41.349594,544.19916,196.72156,509.92767,236.15912,-1.0871887,-1.0871887,-1.0871887,14.852875,-5.3229675,-5.3229675,7.212555,-8.118927,0,0.390731128,2355,0.004002891,321,0.049288344,0.076967075,0.920504853,30,63.69015115,0.675442036,0.19314044,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.683791864050713,47.00397674470279]}"
00000000000000000007_0,,2024-06-06T09:18:58Z,,2369.106934,0,0.503811983,AF207,"Flag, Blue",WPT,23,-1.0871887,7.954956,-10.494812,1437.1704,216.72348,41.349594,41.349594,544.19916,196.72156,509.92767,236.15912,-1.0871887,-1.0871887,-1.0871887,14.852875,-5.3229675,-5.3229675,7.212555,-8.118927,0,0.390731128,2355,0.004002891,321,0.049288344,0.076967075,0.920504853,30,63.69015115,0.675442036,0.19314044,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.683791864050713,47.00397674470279]}"
00000000000000000008_0,,2024-06-06T09:40:24Z,,2404.355957,0,0.500661859,AF208,"Flag, Blue",WPT,343,-0.47729492,8.539307,-9.853729,1437.5696,217.69666,41.16625,41.16625,544.31714,197.06827,506.01163,237.0455,-0.47729492,-0.47729492,-0.47729492,15.400482,-4.6878357,-4.6878357,7.6056213,-7.4315186,0,-0.292371705,2424,0.004564383,333,0.004805486,0.055080175,0.956304756,23,63.69015115,0.675442036,0.19314044,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.682449526467899,47.00309715386131]}"
00000000000000000009_0,,2024-06-06T09:54:47Z,,2390.696777,0,0.483704924,AF209,"Flag, Blue",WPT,19,-1.0871887,7.954956,-10.494812,1437.1704,216.72348,41.349594,41.349594,544.19916,196.72156,509.92767,236.15912,-1.0871887,-1.0871887,-1.0871887,14.852875,-5.3229675,-5.3229675,7.212555,-8.118927,0,0.325568154,2419,0.004002891,333,0.023146836,0.052017692,0.945518576,31,63.69015115,0.675442036,0.19314044,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.683763030698902,47.0030767240496]}"
