system:index,NDVI,aspect,b1,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b2,b3,b4,b5,b6,b7,b8,b9,chm,ghmi,elevation,landcover,nari,ncri,random,slope,snow_cover,snow_depth,swe,.geo
0_0,0.6989859804143543,141,5.9963684,14.406403,-2.938446,1609.0312,242.84868,44.783722,44.783722,613.13684,230.3883,570.53406,280.78937,5.9963684,5.9963684,5.9963684,20.849304,1.7148438,1.7148438,13.254211,0.36901855,8,0.22036259,1099,312,0.21521334,0.39069766,0.04429313294003945,32,52.89679965372777,0.4032870813205369,0.12007328184347853,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.854166666666663,47.254166666666656]}"
1_0,0.8198663265488197,256,7.8874207,16.923767,-1.6844482,819.91705,136.8649,22.076202,22.076202,314.0763,116.03515,280.73535,148.09587,7.8874207,7.8874207,7.8874207,23.184875,4.274292,4.274292,14.327118,2.7946777,13,0.13140799,612,313,0.24793385,0.5443425,0.6859795170354767,1,8.64399598865709,0.010791338473979709,0.0017810952864549935,"{""geodesic"":false,""type"":""Point"",""coordinates"":[15.179166666666667,48.94583333333332]}"
2_0,0.5561013020717634,80,11.002563,20.60617,0.44360352,797.9277,139.2058,17.009052,17.009052,309.38382,97.051735,258.6036,130.7894,11.002563,11.002563,11.002563,27.379395,6.581848,6.581848,15.705048,3.4114685,3,0.6871886,213,112,0.24775226,0.23239043,8.734896160321748E-4,0,2.9403112353226173,0.002943937386000912,4.591502069176684E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[15.962500000000002,46.695833333333326]}"
3_0,0.7416712760483846,204,7.320221,16.295715,-2.251007,1079.6018,179.26102,28.45956,28.45956,416.4917,147.02301,381.98297,190.09459,7.320221,7.320221,7.320221,22.573029,3.6777344,3.6777344,14.134827,2.1009521,9,0.2375187,745,242,0.29545474,0.5004695,0.8786668396209601,3,10.930506645790583,0.014873930813240994,0.0025315684811252465,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.6625,48.42916666666665]}"
4_0,0.8311806713458456,90,7.179199,16.238495,-2.4310303,1037.9426,180.47057,25.996023,25.996023,428.7685,128.83315,399.84866,157.63742,7.179199,7.179199,7.179199,22.44516,3.5351257,3.5351257,14.94342,0.11483765,21,0.10297913,764,312,0.25484514,0.59110665,0.3878742065868699,1,9.676839749344506,0.01228768783130985,0.0020473194187545255,"{""geodesic"":false,""type"":""Point"",""coordinates"":[15.279166666666667,48.49583333333332]}"
5_0,0.7651673553691583,355,6.2927856,15.168335,-3.0256958,1532.3965,229.65639,45.448013,45.448013,544.1943,236.6907,478.71338,304.47244,6.2927856,6.2927856,6.2927856,21.83487,2.2304382,2.2304382,12.166962,0.95751953,4,0.23628755,983,312,0.33955398,0.52954066,0.9567242450796191,7,49.79079074398655,0.3467028435647515,0.10104711953766314,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.362499999999999,47.35416666666666]}"
6_0,0.6310472426194559,331,0.87731934,9.763611,-8.500336,1552.0286,232.11224,44.050117,44.050117,599.54254,202.80322,581.1244,237.42058,0.87731934,0.87731934,0.87731934,16.565765,-3.421936,-3.421936,9.885071,-7.3024597,0,0.038394812,1847,322,0.23795182,0.44761273,0.9366121733805115,10,49.667352553757695,0.29585329430645807,0.08329692742512534,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.579166666666666,47.37083333333332]}"
7_0,0.6866501898366402,246,9.78363,19.116547,-0.48547363,937.13184,160.29837,18.405985,18.405985,368.27652,100.12396,310.23105,141.02052,9.78363,9.78363,9.78363,25.48526,5.4856873,5.4856873,15.027405,2.0146484,7,0.45021734,606,231,0.16361082,0.36625236,0.3508764244439214,11,16.69356599834701,0.03513982923292864,0.006891313177561901,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.854166666666668,46.83749999999999]}"
8_0,0.6874799955966704,142,9.388672,18.751007,-0.8217468,788.662,132.79167,18.823744,18.823744,302.42065,95.50788,265.08386,122.977745,9.388672,9.388672,9.388672,25.39978,4.937622,4.937622,15.0460205,1.646759,6,0.3077434,485,242,0.25966853,0.5380608,0.5843863527348258,5,8.229423275941917,0.009323266234182627,0.0015152522651126165,"{""geodesic"":false,""type"":""Point"",""coordinates"":[15.395833333333334,47.11249999999999]}"
9_0,0.2693613042865743,270,0.19125366,9.186188,-9.516632,1744.5594,273.1281,45.00182,45.00182,677.0993,228.83705,629.7617,281.16818,0.19125366,0.19125366,0.19125366,15.685303,-4.5522156,-4.5522156,8.5312195,-6.7621155,0,0.14351936,2184,332,0.08451081,0.06630643,0.08601419019909085,5,52.89679965372777,0.4032870813205369,0.12007328184347853,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.937499999999996,47.345833333333324]}"
