system:index,NDVI,aspect,b1,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b2,b3,b4,b5,b6,b7,b8,b9,CHM,eastness,elevation,GHMI,landcover,month,NARI,NCRI,northness,random,slope,snow_cover,snow_depth,species,SWE,year,.geo
0_0_0,0.76581319,275,0.15866089,9.040924,-9.195984,1698.812,259.46796,46.659058,46.659058,652.6178,229.53783,608.5617,272.02853,0.15866089,0.15866089,0.15866089,15.736237,-4.243805,-4.243805,8.140686,-6.6594543,6,-0.996194698,1973,0.16601431,312,1,0.12601072,0.36506456,0.087155743,0.587418493,9,52.99107156,0.387672101,Lagopus muta,0.113203207,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.487499999999997,47.21249999999999]}"
1_0_0,0.17496404,81,-2.7850342,6.289276,-12.233093,1515.7632,211.09985,46.717545,46.717545,555.88245,206.45192,575.15955,239.61215,-2.7850342,-2.7850342,-2.7850342,13.053497,-6.825531,-6.825531,7.431305,-11.341248,0,0.987688341,2460,0.020953728,333,1,0.03282661,0.028110623,0.156434465,0.329315145,16,60.33192237,0.597305625,Lagopus muta,0.177413799,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.104166666666664,47.05416666666666]}"
2_0_0,0.618774931,135,-0.76797485,8.481537,-10.465424,1361.9875,216.52937,35.16137,35.16137,523.2439,175.31587,484.59738,219.27902,-0.76797485,-0.76797485,-0.76797485,15.072632,-5.123749,-5.123749,7.2278748,-7.7036133,0,0.707106781,2465,0.105519235,321,2,0.26926565,0.33499584,-0.707106781,0.202600344,25,66.77048087,0.766735267,Lagopus muta,0.215635752,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.904166666666663,46.86249999999999]}"
3_0_0,0.69850755,254,0.3373413,9.383392,-9.037903,1488.2644,217.11304,43.854546,43.854546,548.8632,203.9293,524.55853,246.57013,0.3373413,0.3373413,0.3373413,15.914612,-3.5456848,-3.5456848,8.789825,-7.3046875,1,-0.961261696,1967,0.022072166,321,2,0.28072837,0.27262282,-0.275637356,0.448825036,22,60.33192237,0.597305625,Lagopus muta,0.177413799,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.070833333333331,47.05416666666666]}"
4_0_0,0.609946951,161,-1.8482056,7.244934,-11.438782,1612.6392,245.35103,43.172146,43.172146,606.17334,223.40431,561.1338,284.451,-1.8482056,-1.8482056,-1.8482056,14.005859,-6.474182,-6.474182,6.304413,-7.9346924,0,0.325568154,2200,0.034604024,333,3,0.10717491,0.11949944,-0.945518576,0.19123349,16,61.86609672,0.665840953,Lagopus muta,0.203406734,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.662499999999996,47.14583333333332]}"
7_0_0,0.609946951,161,-1.8482056,7.244934,-11.438782,1612.6392,245.35103,43.172146,43.172146,606.17334,223.40431,561.1338,284.451,-1.8482056,-1.8482056,-1.8482056,14.005859,-6.474182,-6.474182,6.304413,-7.9346924,0,0.325568154,2200,0.034604024,333,5,0.10717491,0.11949944,-0.945518576,0.348542755,16,61.86609672,0.665840953,Lagopus muta,0.203406734,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.662499999999996,47.14583333333332]}"
8_0_0,0.538190868,353,2.1413574,10.626221,-6.8874207,1710.074,260.9551,49.292313,49.292313,654.0523,227.94402,625.9433,281.16425,2.1413574,2.1413574,2.1413574,16.580475,-1.5954895,-1.5954895,10.10849,-5.0289,0,-0.121869343,1419,0.021929473,312,5,0.23566,0.3796635,0.992546152,0.777485454,19,33.5653355,0.112501737,Lagopus muta,0.026712332,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[15.420833333333334,47.66249999999999]}"
9_0_0,0.720272039,331,2.4066162,11.235718,-6.98114,1895.9333,291.8511,51.341457,51.341457,688.91864,269.67993,616.2399,364.06027,2.4066162,2.4066162,2.4066162,17.51297,-1.8811646,-1.8811646,8.652985,-3.002777,1,-0.48480962,1675,0.18629873,312,5,0.28878647,0.4295286,0.874619707,0.233051864,21,47.53461475,0.307204943,Lagopus muta,0.089621898,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.912499999999994,47.32916666666666]}"
10_0_0,0.282696497,106,-1.5927734,7.541626,-11.568451,1841.0497,277.18665,52.79975,52.79975,653.393,267.79175,607.9262,351.9616,-1.5927734,-1.5927734,-1.5927734,14.240723,-6.461334,-6.461334,6.0440674,-7.4792786,0,0.961261696,2238,0.048405662,332,5,0.1592345,0.13996316,-0.275637356,0.281162156,17,51.49142257,0.439162004,Lagopus muta,0.132781828,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.737499999999995,47.05416666666666]}"
11_0_0,0.284908225,359,0.15463257,9.367523,-9.9748535,1585.6106,241.38387,39.456238,39.456238,579.165,185.68713,551.9418,228.65326,0.15463257,0.15463257,0.15463257,16.007324,-4.3609924,-4.3609924,7.1411743,-9.240295,1,-0.017452406,1889,0.0584072,322,5,0.15410958,0.24116741,0.999847695,0.514394226,14,44.40824031,0.219055482,Lagopus muta,0.061240563,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.079166666666666,46.70416666666666]}"
12_0_0,0.683818262,324,3.1554565,12.061188,-6.262848,1924.471,290.25488,53.348618,53.348618,700.6048,271.5378,645.4635,355.07617,3.1554565,3.1554565,3.1554565,18.469513,-0.9942627,-0.9942627,10.674622,-3.0388489,2,-0.587785252,1534,0.091764115,312,5,0.080455765,0.28218266,0.809016994,0.549959411,13,31.08280631,0.120137672,Lagopus muta,0.029900571,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.604166666666664,47.82916666666666]}"
16_0_0,0.434631504,221,2.3691406,11.276581,-7.0731506,1921.6952,288.8497,53.239433,53.239433,716.83936,263.96704,669.438,330.04578,2.3691406,2.3691406,2.3691406,17.915436,-2.0272217,-2.0272217,10.329987,-5.648041,1,-0.656059029,1823,0.039046083,333,6,0.1479029,0.23645458,-0.75470958,0.381274504,1,31.60666329,0.105234406,Lagopus muta,0.025407854,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.3125,47.779166666666654]}"
21_0_0,0.710246612,228,2.5028076,11.496643,-6.839203,1383.5376,201.1973,41.488865,41.488865,498.4542,198.94069,464.22116,243.0792,2.5028076,2.5028076,2.5028076,18.196869,-1.4934998,-1.4934998,9.966736,-4.642456,4,-0.743144825,1932,0.089511275,321,6,0.26424438,0.25257316,-0.669130606,0.178679166,24,60.15846163,0.594595475,Lagopus muta,0.173288069,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.420833333333333,47.129166666666656]}"
22_0_0,0.46341832,332,-0.6732788,8.343811,-10.130951,1530.3363,230.29897,42.22359,42.22359,564.685,219.54095,521.0241,282.6973,-0.6732788,-0.6732788,-0.6732788,15.084259,-5.16745,-5.16745,7.1388855,-6.391266,2,-0.469471563,2074,0.09493536,321,6,0.20273833,0.23917384,0.882947593,0.544189885,13,62.17005558,0.713011304,Lagopus muta,0.220774615,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.620833333333328,47.08749999999999]}"
23_0_0,0.326309481,215,-0.21954346,8.750122,-9.764954,1927.4003,293.8135,52.27081,52.27081,697.37103,273.11948,628.88367,367.69348,-0.21954346,-0.21954346,-0.21954346,15.291931,-4.724945,-4.724945,6.9075317,-5.7134705,0,-0.573576436,2134,0.07878212,333,6,0.13451858,0.08986165,-0.819152044,0.692725298,12,56.34069885,0.594021026,Lagopus muta,0.186311528,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.012499999999996,47.195833333333326]}"
24_0_0,0.321859514,329,1.4712219,10.387756,-7.912689,1707.2148,254.34264,48.79378,48.79378,644.0371,235.92792,601.87555,287.10162,1.4712219,1.4712219,1.4712219,17.184845,-2.8659668,-2.8659668,9.792908,-6.1043396,0,-0.515038075,1940,0.043811124,333,6,0.027326427,0.19636367,0.857167301,0.27726449,8,43.57184759,0.223920705,Lagopus muta,0.061008839,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.520833333333332,47.55416666666665]}"
